Row.names,Horodateur,Sexe,Age,Race,Nombre,Logement,Zone,Ext,Obs,Timide,Calme,Effrayé,Intelligent,Vigilant,Perséverant,Affectueux,Amical,Solitaire,Brutal,Dominant,Agressif,Impulsif,Prévisible,Distrait,Abondance,PredOiseau,PredMamm,Plus
2351,2021-03-14 09:03:39 UTC,F,2a10,PER,1,MI,R,0,2,1,4,5,5,4,3,4,5,3,1,1,3,1,4,5,2,0,0,Mon chat va dans le jardin des que nous ouv ront la véranda mais elle quitte 0 le jardin elle se sauve pas et rentre tout les soirs
2352,2021-03-14 09:31:38 UTC,M,2a10,NR,5,ML,PU,1,2,3,4,3,4,5,5,4,3,3,2,3,2,4,4,2,2,0,1,
2353,2021-03-14 09:49:04 UTC,F,2a10,RAG,2,ML,PU,2,2,4,5,4,4,4,4,5,3,3,1,1,3,3,4,3,2,0,1,
2354,2021-03-14 09:51:12 UTC,F,1a2,NR,2,AAB,U,2,2,3,5,4,5,5,3,5,5,2,1,1,1,1,2,3,2,0,1,
2355,2021-03-14 10:00:08 UTC,F,Plusde10,TUV,1,AAB,U,1,2,2,5,5,5,5,5,5,3,4,1,1,5,1,3,3,2,0,0,
2356,2021-03-14 10:13:22 UTC,F,1a2,BEN,Plusde5,MI,R,2,2,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,2,0,1,
2357,2021-03-14 10:14:50 UTC,F,2a10,PER,2,ML,PU,0,3,1,5,1,4,2,4,5,5,1,1,1,1,1,2,3,2,0,0,
2358,2021-03-14 10:16:13 UTC,M,Plusde10,PER,2,ML,PU,0,3,2,5,3,4,2,1,3,2,4,1,1,1,1,5,3,2,0,0,
2359,2021-03-14 10:31:49 UTC,M,Plusde10,EUR,1,MI,U,2,2,2,4,1,5,4,4,5,4,1,1,1,1,1,4,1,2,0,0,
236,2021-03-15 23:43:16 UTC,F,2a10,BEN,1,ML,U,0,3,4,4,5,4,4,4,5,2,2,3,3,5,3,4,4,NSP,0,0,
2360,2021-03-14 10:47:22 UTC,M,2a10,Autre,4,AAB,PU,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,0,0,
2361,2021-03-14 10:51:45 UTC,F,1a2,PER,2,MI,R,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,0,0,
2362,2021-03-14 11:02:05 UTC,F,2a10,ORI,1,ML,PU,2,2,3,4,4,4,3,2,4,2,3,1,1,2,2,4,3,2,0,1,
2363,2021-03-14 11:17:06 UTC,F,2a10,RAG,2,ML,PU,0,1,3,4,5,5,5,4,4,2,4,1,3,5,5,4,5,2,0,0,
2364,2021-03-14 11:20:45 UTC,M,2a10,EUR,Plusde5,ML,PU,2,2,3,2,2,5,5,5,5,5,3,4,4,4,5,5,2,2,0,0,"vit moitié intérieur, moitié enclos extérieur"
2365,2021-03-14 11:27:56 UTC,F,2a10,SBI,1,ML,U,1,3,1,3,1,5,4,5,3,3,3,3,3,4,3,4,1,2,0,0,
